,date_forecast,lower,mean,upper,k
16,2022-10-01,0.11535231525092127,0.18417583924837388,0.25287735716634785,el retiro Farm
17,2023-01-01,0.09689857806816926,0.1718395020776875,0.24215952178046796,el retiro Farm
18,2023-04-01,0.05868688454925963,0.13654026505373884,0.21160230315864603,el retiro Farm
19,2023-07-01,0.003202046152535498,0.08862878080150938,0.16906862457298377,el retiro Farm
20,2023-10-01,0.004179802836375313,0.09149517345386338,0.17283312450407862,el retiro Farm
0,2018-10-01,0.0672007298083881,0.0672007298083881,0.0672007298083881,la moraleja Property
1,2019-01-01,0.07004925598404643,0.07234579260657537,0.07539443425243775,la moraleja Property
2,2019-04-01,0.08604922459778352,0.08899362294672897,0.09317557926996911,la moraleja Property
3,2019-07-01,0.09493166393755748,0.09932138207862451,0.10415381559989711,la moraleja Property
4,2019-10-01,0.09606400320645725,0.1004789479657322,0.10621004027437975,la moraleja Property
5,2020-01-01,0.09846075569598733,0.10354178042504159,0.11069744690467886,la moraleja Property
6,2020-04-01,0.10834192458123182,0.11414262200663661,0.12117966686329473,la moraleja Property
7,2020-07-01,0.08600173558627588,0.09215334697453192,0.10003986570224166,la moraleja Property
8,2020-10-01,0.07853353406600516,0.08634737310099982,0.09429721237707223,la moraleja Property
9,2021-01-01,0.06942997408351426,0.07770486328736848,0.08650429514563274,la moraleja Property
10,2021-04-01,0.061330766283986815,0.07015879654196389,0.0790311321533026,la moraleja Property
11,2021-07-01,0.06674260666633725,0.07551067388289878,0.08507692275829593,la moraleja Property
12,2021-10-01,0.059073634992190316,0.06773112453885077,0.07836696670638643,la moraleja Property
13,2022-01-01,0.050455752924307706,0.059992883331864144,0.0719266762085069,la moraleja Property
14,2022-04-01,0.033465895886888974,0.043365000864640235,0.055852122938659265,la moraleja Property
15,2022-07-01,0.038571941790740194,0.04919561432462305,0.060995584488880095,la moraleja Property
16,2022-10-01,0.009410369462132362,0.020322373469704225,0.03246016995149015,la moraleja Property
17,2023-01-01,-0.01626070489219633,-0.0028856232633882595,0.009183132568798325,la moraleja Property
18,2023-04-01,-0.024954377885403778,-0.011654456339451613,0.0015753195663739117,la moraleja Property
19,2023-07-01,-0.04063823365181596,-0.024607830402958886,-0.009644179973183453,la moraleja Property
20,2023-10-01,-0.04296689548338006,-0.026551482479971633,-0.010703779335261676,la moraleja Property
0,2018-10-01,0.06445699890072554,0.06445699890072554,0.06445699890072554,la volcana Apartments
